fy_year,fy_label,cumulative_gw,annual_addition_gw,source
2007,FY2006-07,7.85,0.0,CEA
2008,FY2007-08,9.587,1.737,CEA
2009,FY2008-09,10.925,1.338,CEA
2010,FY2009-10,13.064,2.139,CEA
2011,FY2010-11,16.084,3.020,CEA
2012,FY2011-12,18.421,2.337,CEA
2013,FY2012-13,20.150,1.729,CEA
2014,FY2013-14,22.465,2.315,CEA
2015,FY2014-15,23.447,0.982,CEA
2016,FY2015-16,26.777,3.330,CEA
2017,FY2016-17,32.280,5.503,CEA/MNRE
2018,FY2017-18,34.046,1.766,CEA
2019,FY2018-19,35.626,1.580,CEA/MNRE
2020,FY2019-20,37.669,2.043,CEA
2021,FY2020-21,38.785,1.116,CEA (COVID)
2022,FY2021-22,40.355,1.570,CEA/MNRE
2023,FY2022-23,42.633,2.278,CEA
2024,FY2023-24,45.887,3.254,MNRE/PIB
2025,FY2024-25,50.017,4.130,MNRE/PIB
2026,FY2025-26,56.100,6.083,PIB/MNRE
